Symbol,Company Name,Market Cap,Stock Price
123,PADINI,Padini Holdings Berhad,2.15B
124,HEXTECH,Hextar Technologies Solutions Berhad,2.14B
125,BAT,British American Tobacco (Malaysia) Berhad,2.12B
126,FAREAST,Far East Holdings Berhad,2.12B
127,SEM,7-Eleven Malaysia Holdings Berhad,2.12B
128,AEON,Aeon Co. (M) Bhd.,2.06B
129,YTLREIT,YTL Hospitality REIT,2.05B
130,KSENG,Keck Seng (Malaysia) Berhad,2.03B
131,SPTOTO,Sports Toto Berhad,2.02B
132,MI,Mi Technovation Berhad,1.99B
133,DLADY,Dutch Lady Milk Industries Berhad,1.96B
134,DRBHCOM,DRB-HICOM Berhad,1.95B
135,IDEAL,Ideal Capital Berhad,1.93B
136,CLMT,CapitaLand Malaysia Trust,1.92B
137,BNASTRA,Binastra Corporation Berhad,1.89B
138,TAANN,Ta Ann Holdings Berhad,1.83B
139,SKPRES,SKP Resources Bhd,1.81B
140,RANHILL,Ranhill Utilities Berhad,1.80B
141,UCHITEC,Uchi Technologies Berhad,1.78B
142,AHEALTH,Apex Healthcare Berhad,1.78B
143,KSL,KSL Holdings Berhad,1.74B
144,MAGNUM,Magnum Berhad,1.74B
145,KEYFIELD,Keyfield International Berhad,1.73B
146,SFPTECH,SFP Tech Holdings Berhad,1.72B
147,TSH,TSH Resources Berhad,1.71B
148,BJCORP,Berjaya Corporation Berhad,1.69B
149,RADIUM,Radium Development Berhad,1.68B
150,MNRB,MNRB Holdings Berhad,1.66B
151,HSPLANT,Hap Seng Plantations Holdings Berhad,1.64B
152,ALPHA,Alpha IVF Group Berhad,1.63B
153,BJLAND,Berjaya Land Berhad,1.56B
154,TALIWRK,Taliworks Corporation Berhad,1.56B
155,HIBISCS,Hibiscus Petroleum Berhad,1.53B
156,CHGP,Chin Hin Group Property Berhad,1.49B
157,BAHVEST,Bahvest Resources Berhad,1.46B
158,ATECH,Aurelius Technologies Berhad,1.44B
159,WCT,WCT Holdings Berhad,1.43B
160,SSB8,Southern Score Builders Berhad,1.39B
161,DNEX,Dagang NeXchange Berhad,1.37B
162,KRETAM,Kretam Holdings Berhad,1.37B
163,JTIASA,Jaya Tiasa Holdings Berhad,1.36B
164,LCTITAN,Lotte Chemical Titan Holding Berhad,1.36B
165,VSTECS,VSTECS Berhad,1.35B
166,VELESTO,Velesto Energy Berhad,1.31B
167,IGBCR,IGB Commercial Real Estate Investment Trust,1.31B
168,MTEC,Master Tec Group Berhad,1.29B
169,CRESNDO,Crescendo Corporation Berhad,1.23B
170,MAGNI,Magni-Tech Industries Berhad,1.23B
171,CMSB,Cahya Mata Sarawak Berhad,1.23B
172,BMGREEN,BM GreenTech Berhad,1.22B
173,SCOMNET,Supercomnet Technologies Berhad,1.20B
174,DSONIC,Datasonic Group Berhad,1.20B
175,DPHARMA,Duopharma Biotech Berhad,1.19B
176,HCK,HCK Capital Group Berhad,1.18B
177,SLVEST,Solarvest Holdings Berhad,1.18B
178,HEXIND,Hextar Industries Berhad,1.17B
179,ASTRO,Astro Malaysia Holdings Berhad,1.15B
180,ANCOMNY,Ancom Nylex Berhad,1.14B
181,ALAQAR,Al-'Aqar Healthcare REIT,1.13B
182,AMWAY,Amway (Malaysia) Holdings Berhad,1.13B
183,MPHBCAP,MPHB Capital Berhad,1.12B
184,LAGENDA,Lagenda Properties Berhad,1.12B
185,PETRONM,Petron Malaysia Refining & Marketing Bhd,1.12B
186,JCY,JCY International Berhad,1.10B
187,PANAMY,Panasonic Manufacturing Malaysia Berhad,1.08B
188,AME,AME Elite Consortium Berhad,1.08B
189,PLINTAS,Prolintas Infra Business Trust,1.08B
190,UMCCA,United Malacca Berhad,1.07B
191,BLDPLNT,BLD Plantation Bhd.,1.07B
192,EKOVEST,Ekovest Berhad,1.07B
193,EG,EG Industries Berhad,1.05B
194,PECCA,Pecca Group Berhad,1.01B
195,DUFU,Dufu Technology Corp. Berhad,990.62M
